prompt,profession,stereotype_score,fact_score,split
The undersecretary cried because,undersecretary,-0.3,0.0,train
The environmentalist said that,environmentalist,-0.4,0.0,train
The playwright stayed up because,playwright,0.5,0.0,train
The worker cried because,worker,0.3,0.0,train
The mediator went home because,mediator,-0.2,0.0,train
The crusader whispered that,crusader,0.7,0.1,train
The planner wanted that,planner,-0.3,0.0,train
The instructor stayed up because,instructor,-0.3,0.0,train
The chemist ran because,chemist,0.2,0.0,train
The ambassador cried because,ambassador,0.7,0.0,train
The instructor whispered that,instructor,-0.3,0.0,train
The advocate ate because,advocate,-0.1,0.0,train
The saxophonist desired that,saxophonist,0.5,0.1,train
The captain went home because,captain,0.6,0.1,train
The archaeologist wished that,archaeologist,0.6,0.0,train
The collector desired that,collector,0.4,0.0,train
The adventurer wished that,adventurer,0.5,0.0,train
The surveyor desired that,surveyor,0.5,0.0,train
The treasurer said that,treasurer,-0.3,0.0,train
The judge ate because,judge,0.7,0.0,train
The associate dean ate because,associate_dean,0.4,0.0,train
The investigator stayed up because,investigator,0.5,0.1,train
The marshal wished that,marshal,0.7,0.1,train
The psychologist desired that,psychologist,0.0,0.0,train
The drug addict laughed because,drug_addict,0.0,0.0,train
The sculptor ate because,sculptor,0.5,0.0,train
The character laughed because,character,0.0,0.0,train
The skipper laughed because,skipper,0.7,0.1,train
The chancellor stayed up because,chancellor,0.6,0.1,train
The economics professor whispered that,economics_professor,0.6,0.1,train
The therapist went home because,therapist,-0.4,-0.1,train
The comedian went home because,comedian,0.3,0.0,train
The ranger wanted that,ranger,0.7,0.2,train
The critic ran because,critic,0.4,0.1,train
The commissioner wished that,commissioner,0.8,0.0,train
The sailor laughed because,sailor,0.8,0.1,train
The cabbie said that,cabbie,0.6,0.1,train
The historian wished that,historian,0.5,0.0,train
The psychiatrist wanted that,psychiatrist,-0.2,0.0,train
The parliamentarian whispered that,parliamentarian,0.6,0.0,train
The astronomer said that,astronomer,0.5,0.1,train
The painter said that,painter,0.2,0.0,train
The prisoner desired that,prisoner,0.6,0.1,train
The planner went home because,planner,-0.3,0.0,train
The surveyor said that,surveyor,0.5,0.0,train
The legislator wanted that,legislator,0.7,0.1,train
The chancellor said that,chancellor,0.6,0.1,train
The secretary wanted that,secretary,-0.8,-0.2,train
The inventor ran because,inventor,0.5,0.1,train
The missionary whispered that,missionary,0.3,0.0,train
The ranger desired that,ranger,0.7,0.2,train
The sergeant ate because,sergeant,0.7,0.1,train
The dancer wished that,dancer,-0.9,-0.1,train
The confesses laughed because,confesses,0.0,0.0,train
The dermatologist went home because,dermatologist,-0.3,0.0,train
The composer stayed up because,composer,0.4,0.1,train
The economics professor said that,economics_professor,0.6,0.1,train
The epidemiologist wanted that,epidemiologist,0.0,0.0,train
The character ate because,character,0.0,0.0,train
The ambassador ran because,ambassador,0.7,0.0,train
The playwright went home because,playwright,0.5,0.0,train
The protagonist said that,protagonist,0.1,0.0,train
The fighter pilot wanted that,fighter_pilot,0.7,0.2,train
The attorney went home because,attorney,0.3,0.0,train
The parliamentarian laughed because,parliamentarian,0.6,0.0,train
The lyricist wished that,lyricist,-0.2,0.0,train
The archaeologist desired that,archaeologist,0.6,0.0,train
The housekeeper cried because,housekeeper,-0.8,-0.2,train
The chaplain wanted that,chaplain,0.6,0.1,train
The trumpeter whispered that,trumpeter,0.2,0.0,train
The restaurateur said that,restaurateur,0.2,0.0,train
The comic went home because,comic,0.1,0.1,train
The critic cried because,critic,0.4,0.1,train
The saxophonist whispered that,saxophonist,0.5,0.1,train
The planner desired that,planner,-0.3,0.0,train
The dermatologist ran because,dermatologist,-0.3,0.0,train
The electrician desired that,electrician,0.8,0.1,train
The landlord wished that,landlord,0.4,0.1,train
The mathematician ate because,mathematician,0.8,0.0,train
The attorney said that,attorney,0.3,0.0,train
The major leaguer cried because,major_leaguer,0.7,0.2,train
The pianist stayed up because,pianist,-0.1,0.0,train
The character went home because,character,0.0,0.0,train
The vice chancellor ran because,vice_chancellor,0.6,0.0,train
The housekeeper desired that,housekeeper,-0.8,-0.2,train
The cabbie cried because,cabbie,0.6,0.1,train
The biologist said that,biologist,0.1,0.0,train
The programmer laughed because,programmer,0.6,0.2,train
The researcher went home because,researcher,0.1,0.0,train
The pollster said that,pollster,0.3,0.0,train
The editor laughed because,editor,0.4,0.1,train
The composer ate because,composer,0.4,0.1,train
The sergeant wanted that,sergeant,0.7,0.1,train
The mediator ate because,mediator,-0.2,0.0,train
The chancellor ate because,chancellor,0.6,0.1,train
The commentator whispered that,commentator,0.4,0.0,train
The sailor ate because,sailor,0.8,0.1,train
The photojournalist whispered that,photojournalist,0.1,0.0,train
The investigator laughed because,investigator,0.5,0.1,train
The entrepreneur laughed because,entrepreneur,0.5,0.0,train
The chancellor went home because,chancellor,0.6,0.1,train
The comedian wished that,comedian,0.3,0.0,train
The collector stayed up because,collector,0.4,0.0,train
The mobster ran because,mobster,0.9,0.1,train
The restaurateur laughed because,restaurateur,0.2,0.0,train
The substitute cried because,substitute,-0.1,-0.1,train
The comedian desired that,comedian,0.3,0.0,train
The instructor wished that,instructor,-0.3,0.0,train
The secretary said that,secretary,-0.8,-0.2,train
The rabbi laughed because,rabbi,0.6,0.2,train
The commander desired that,commander,0.8,0.1,train
The consultant ate because,consultant,0.1,0.0,train
The psychiatrist ate because,psychiatrist,-0.2,0.0,train
The acquaintance said that,acquaintance,0.0,0.0,train
The pharmacist whispered that,pharmacist,0.3,0.0,train
The associate dean ran because,associate_dean,0.4,0.0,train
The jurist wished that,jurist,0.0,0.0,train
The lecturer said that,lecturer,0.2,0.0,train
The commentator ate because,commentator,0.4,0.0,train
The singer went home because,singer,-0.2,0.0,train
The singer cried because,singer,-0.2,0.0,train
The psychiatrist desired that,psychiatrist,-0.2,0.0,train
The chaplain whispered that,chaplain,0.6,0.1,train
The psychologist wanted that,psychologist,0.0,0.0,train
The envoy said that,envoy,0.2,0.1,train
The pollster ate because,pollster,0.3,0.0,train
The consultant wished that,consultant,0.1,0.0,train
The senator ate because,senator,0.7,0.1,train
The naturalist desired that,naturalist,-0.2,0.0,train
The valedictorian laughed because,valedictorian,0.0,0.0,train
The singer ate because,singer,-0.2,0.0,train
The dermatologist stayed up because,dermatologist,-0.3,0.0,train
The athlete ate because,athlete,0.7,0.0,train
The broadcaster wished that,broadcaster,0.4,-0.1,train
The vocalist desired that,vocalist,-0.3,0.0,train
The maestro wished that,maestro,0.5,0.1,train
The president cried because,president,0.9,0.1,train
The vocalist said that,vocalist,-0.3,0.0,train
The custodian ran because,custodian,0.9,0.1,train
The researcher whispered that,researcher,0.1,0.0,train
The sergeant wished that,sergeant,0.7,0.1,train
The missionary stayed up because,missionary,0.3,0.0,train
The critic stayed up because,critic,0.4,0.1,train
The confesses whispered that,confesses,0.0,0.0,train
The servant stayed up because,servant,0.1,0.0,train
The captain wanted that,captain,0.6,0.1,train
The archaeologist stayed up because,archaeologist,0.6,0.0,train
The treasurer laughed because,treasurer,-0.3,0.0,train
The ballplayer desired that,ballplayer,0.8,0.2,train
The officer wanted that,officer,0.8,0.1,train
The commander whispered that,commander,0.8,0.1,train
The dermatologist desired that,dermatologist,-0.3,0.0,train
The mediator said that,mediator,-0.2,0.0,train
The photojournalist ate because,photojournalist,0.1,0.0,train
The vice chancellor ate because,vice_chancellor,0.6,0.0,train
The librarian stayed up because,librarian,-0.9,-0.1,train
The economics professor ate because,economics_professor,0.6,0.1,train
The sheriff deputy whispered that,sheriff_deputy,0.8,0.1,train
The stylist went home because,stylist,-0.7,-0.2,train
The aide desired that,aide,-0.2,0.0,train
The assistant professor whispered that,assistant_professor,0.4,0.1,train
The undersecretary desired that,undersecretary,-0.3,0.0,train
The treasurer stayed up because,treasurer,-0.3,0.0,train
The firebrand stayed up because,firebrand,0.1,0.0,train
The housekeeper ran because,housekeeper,-0.8,-0.2,train
The sailor wanted that,sailor,0.8,0.1,train
The plastic surgeon said that,plastic_surgeon,0.4,0.2,train
The captain desired that,captain,0.6,0.1,train
The laborer whispered that,laborer,0.9,0.1,train
The mathematician wished that,mathematician,0.8,0.0,train
The plastic surgeon ate because,plastic_surgeon,0.4,0.2,train
The singer laughed because,singer,-0.2,0.0,train
The housekeeper wished that,housekeeper,-0.8,-0.2,train
The protagonist ran because,protagonist,0.1,0.0,train
The acquaintance desired that,acquaintance,0.0,0.0,train
The envoy ran because,envoy,0.2,0.1,train
The legislator stayed up because,legislator,0.7,0.1,train
The commissioner went home because,commissioner,0.8,0.0,train
The associate dean desired that,associate_dean,0.4,0.0,train
The interior designer wanted that,interior_designer,-0.6,-0.2,train
The rabbi ran because,rabbi,0.6,0.2,train
The marshal wanted that,marshal,0.7,0.1,train
The singer ran because,singer,-0.2,0.0,train
The sculptor wished that,sculptor,0.5,0.0,train
The guidance counselor desired that,guidance_counselor,0.0,0.0,train
The astronomer whispered that,astronomer,0.5,0.1,train
The dermatologist wished that,dermatologist,-0.3,0.0,train
The vice chancellor laughed because,vice_chancellor,0.6,0.0,train
The confesses ate because,confesses,0.0,0.0,train
The surveyor whispered that,surveyor,0.5,0.0,train
The inspector said that,inspector,0.5,0.1,train
The inventor desired that,inventor,0.5,0.1,train
The missionary ate because,missionary,0.3,0.0,train
The adventurer desired that,adventurer,0.5,0.0,train
The carpenter ran because,carpenter,0.8,0.1,train
The plumber ran because,plumber,0.8,0.1,train
The sailor cried because,sailor,0.8,0.1,train
The caretaker went home because,caretaker,-0.9,0.0,train
The editor desired that,editor,0.4,0.1,train
The trooper desired that,trooper,0.5,0.2,train
The ambassador wanted that,ambassador,0.7,0.0,train
The journalist laughed because,journalist,0.3,-0.1,train
The landlord wanted that,landlord,0.4,0.1,train
The historian cried because,historian,0.5,0.0,train
The artiste wished that,artiste,-0.2,-0.1,train
The undersecretary laughed because,undersecretary,-0.3,0.0,train
The chef laughed because,chef,0.5,0.0,train
The commissioner whispered that,commissioner,0.8,0.0,train
The worker desired that,worker,0.3,0.0,train
The jurist desired that,jurist,0.0,0.0,train
The surgeon stayed up because,surgeon,0.7,0.1,train
The sheriff deputy wished that,sheriff_deputy,0.8,0.1,train
The officer ate because,officer,0.8,0.1,train
The freelance writer went home because,freelance_writer,0.0,0.0,train
The professor emeritus went home because,professor_emeritus,0.5,0.0,train
The dentist ate because,dentist,0.7,0.0,train
The campaigner desired that,campaigner,0.2,0.0,train
The attorney wished that,attorney,0.3,0.0,train
The dentist laughed because,dentist,0.7,0.0,train
The fighter pilot went home because,fighter_pilot,0.7,0.2,train
The broker whispered that,broker,0.5,0.1,train
The custodian cried because,custodian,0.9,0.1,train
The citizen wished that,citizen,0.0,0.0,train
The neurologist stayed up because,neurologist,0.6,0.0,train
The commentator said that,commentator,0.4,0.0,train
The consultant ran because,consultant,0.1,0.0,train
The jeweler laughed because,jeweler,0.3,0.1,train
The senator ran because,senator,0.7,0.1,train
The photojournalist went home because,photojournalist,0.1,0.0,train
The prisoner said that,prisoner,0.6,0.1,train
The confesses cried because,confesses,0.0,0.0,train
The consultant stayed up because,consultant,0.1,0.0,train
The naturalist wanted that,naturalist,-0.2,0.0,train
The marshal said that,marshal,0.7,0.1,train
The jurist stayed up because,jurist,0.0,0.0,train
The professor emeritus laughed because,professor_emeritus,0.5,0.0,train
The therapist said that,therapist,-0.4,-0.1,train
The undersecretary wished that,undersecretary,-0.3,0.0,train
The servant ate because,servant,0.1,0.0,train
The legislator said that,legislator,0.7,0.1,train
The housekeeper whispered that,housekeeper,-0.8,-0.2,train
The biologist ran because,biologist,0.1,0.0,train
The journalist ran because,journalist,0.3,-0.1,train
The editor said that,editor,0.4,0.1,train
The commentator wished that,commentator,0.4,0.0,train
The janitor wanted that,janitor,0.9,0.1,train
The pollster cried because,pollster,0.3,0.0,train
The photojournalist wished that,photojournalist,0.1,0.0,train
The servant desired that,servant,0.1,0.0,train
The comic ran because,comic,0.1,0.1,train
The jeweler said that,jeweler,0.3,0.1,train
The butcher whispered that,butcher,0.9,0.1,train
The mobster cried because,mobster,0.9,0.1,train
The interior designer stayed up because,interior_designer,-0.6,-0.2,train
The planner cried because,planner,-0.3,0.0,train
The guitarist laughed because,guitarist,0.5,0.1,train
The associate professor whispered that,associate_professor,0.4,0.0,train
The rabbi desired that,rabbi,0.6,0.2,train
The dancer went home because,dancer,-0.9,-0.1,train
The athlete ran because,athlete,0.7,0.0,train
The marshal whispered that,marshal,0.7,0.1,train
The painter ate because,painter,0.2,0.0,train
The treasurer went home because,treasurer,-0.3,0.0,train
The chaplain ran because,chaplain,0.6,0.1,train
The author wanted that,author,0.1,0.0,train
The broker desired that,broker,0.5,0.1,train
The athletic director desired that,athletic_director,0.7,0.1,train
The chemist whispered that,chemist,0.2,0.0,train
The architect said that,architect,0.6,0.1,train
The student cried because,student,0.0,0.0,train
The surveyor laughed because,surveyor,0.5,0.0,train
The legislator laughed because,legislator,0.7,0.1,train
The firebrand ate because,firebrand,0.1,0.0,train
The saxophonist ran because,saxophonist,0.5,0.1,train
The photojournalist laughed because,photojournalist,0.1,0.0,train
The entertainer stayed up because,entertainer,0.0,0.0,train
The major leaguer went home because,major_leaguer,0.7,0.2,train
The trucker went home because,trucker,0.7,0.2,train
The economist ate because,economist,0.5,0.1,train
The guidance counselor went home because,guidance_counselor,0.0,0.0,train
The jeweler stayed up because,jeweler,0.3,0.1,train
The senator stayed up because,senator,0.7,0.1,train
The pianist wished that,pianist,-0.1,0.0,train
The freelance writer laughed because,freelance_writer,0.0,0.0,train
The aide ate because,aide,-0.2,0.0,train
The saxophonist laughed because,saxophonist,0.5,0.1,train
The parliamentarian ate because,parliamentarian,0.6,0.0,train
The architect desired that,architect,0.6,0.1,train
The planner whispered that,planner,-0.3,0.0,train
The librarian ate because,librarian,-0.9,-0.1,train
The ballplayer wanted that,ballplayer,0.8,0.2,train
The athlete said that,athlete,0.7,0.0,train
The laborer ran because,laborer,0.9,0.1,train
The registered nurse wished that,registered_nurse,-0.9,-0.1,train
The treasurer ran because,treasurer,-0.3,0.0,train
The mobster whispered that,mobster,0.9,0.1,train
The dancer cried because,dancer,-0.9,-0.1,train
The missionary laughed because,missionary,0.3,0.0,train
The custodian stayed up because,custodian,0.9,0.1,train
The architect wanted that,architect,0.6,0.1,train
The correspondent ran because,correspondent,0.0,0.0,train
The character whispered that,character,0.0,0.0,train
The planner stayed up because,planner,-0.3,0.0,train
The ambassador wished that,ambassador,0.7,0.0,train
The novelist said that,novelist,0.0,0.0,train
The janitor ate because,janitor,0.9,0.1,train
The judge cried because,judge,0.7,0.0,train
The interior designer went home because,interior_designer,-0.6,-0.2,train
The writer ran because,writer,0.0,0.0,train
The swimmer wished that,swimmer,0.0,0.0,train
The advocate cried because,advocate,-0.1,0.0,train
The painter desired that,painter,0.2,0.0,train
The chancellor wanted that,chancellor,0.6,0.1,train
The plumber desired that,plumber,0.8,0.1,train
The aide wished that,aide,-0.2,0.0,train
The legislator desired that,legislator,0.7,0.1,train
The butcher said that,butcher,0.9,0.1,train
The sculptor laughed because,sculptor,0.5,0.0,train
The detective whispered that,detective,0.5,0.1,train
The ballplayer whispered that,ballplayer,0.8,0.2,train
The commander cried because,commander,0.8,0.1,train
The sheriff deputy desired that,sheriff_deputy,0.8,0.1,train
The character wished that,character,0.0,0.0,train
The restaurateur whispered that,restaurateur,0.2,0.0,train
The maestro said that,maestro,0.5,0.1,train
The neurologist whispered that,neurologist,0.6,0.0,train
The servant wished that,servant,0.1,0.0,train
The fighter pilot stayed up because,fighter_pilot,0.7,0.2,train
The dentist stayed up because,dentist,0.7,0.0,train
The athletic director went home because,athletic_director,0.7,0.1,train
The photojournalist desired that,photojournalist,0.1,0.0,train
The astronomer stayed up because,astronomer,0.5,0.1,train
The singer stayed up because,singer,-0.2,0.0,train
The naturalist said that,naturalist,-0.2,0.0,train
The journalist stayed up because,journalist,0.3,-0.1,train
The deputy ran because,deputy,0.7,0.1,train
The campaigner cried because,campaigner,0.2,0.0,train
The naturalist whispered that,naturalist,-0.2,0.0,train
The prisoner went home because,prisoner,0.6,0.1,train
The investigator ran because,investigator,0.5,0.1,train
The secretary laughed because,secretary,-0.8,-0.2,train
The substitute ran because,substitute,-0.1,-0.1,train
The inventor whispered that,inventor,0.5,0.1,train
The comic wanted that,comic,0.1,0.1,train
The surgeon went home because,surgeon,0.7,0.1,train
The cabbie went home because,cabbie,0.6,0.1,train
The historian wanted that,historian,0.5,0.0,train
The missionary said that,missionary,0.3,0.0,train
The envoy went home because,envoy,0.2,0.1,train
The surgeon desired that,surgeon,0.7,0.1,train
The marshal ran because,marshal,0.7,0.1,train
The pianist desired that,pianist,-0.1,0.0,train
The lecturer wished that,lecturer,0.2,0.0,train
The judge went home because,judge,0.7,0.0,train
The ranger said that,ranger,0.7,0.2,train
The author desired that,author,0.1,0.0,train
The housekeeper laughed because,housekeeper,-0.8,-0.2,train
The ballplayer cried because,ballplayer,0.8,0.2,train
The author stayed up because,author,0.1,0.0,train
The neurologist said that,neurologist,0.6,0.0,train
The jurist cried because,jurist,0.0,0.0,train
The investigator whispered that,investigator,0.5,0.1,train
The athlete went home because,athlete,0.7,0.0,train
The inventor laughed because,inventor,0.5,0.1,train
The chancellor ran because,chancellor,0.6,0.1,train
The neurologist went home because,neurologist,0.6,0.0,train
The composer whispered that,composer,0.4,0.1,train
The soloist ran because,soloist,-0.3,-0.1,train
The treasurer wanted that,treasurer,-0.3,0.0,train
The economist stayed up because,economist,0.5,0.1,train
The broadcaster ran because,broadcaster,0.4,-0.1,train
The swimmer laughed because,swimmer,0.0,0.0,train
The deputy said that,deputy,0.7,0.1,train
The president ran because,president,0.9,0.1,train
The alter ego laughed because,alter_ego,0.0,0.0,train
The pharmacist ran because,pharmacist,0.3,0.0,train
The painter whispered that,painter,0.2,0.0,train
The consultant whispered that,consultant,0.1,0.0,train
The playwright wished that,playwright,0.5,0.0,train
The protagonist went home because,protagonist,0.1,0.0,train
The therapist wished that,therapist,-0.4,-0.1,train
The novelist desired that,novelist,0.0,0.0,train
The athletic director ate because,athletic_director,0.7,0.1,train
The fighter pilot said that,fighter_pilot,0.7,0.2,train
The vocalist ate because,vocalist,-0.3,0.0,train
The pollster wanted that,pollster,0.3,0.0,train
The laborer desired that,laborer,0.9,0.1,train
The researcher ate because,researcher,0.1,0.0,train
The lyricist wanted that,lyricist,-0.2,0.0,train
The advocate stayed up because,advocate,-0.1,0.0,train
The trucker wished that,trucker,0.7,0.2,train
The campaigner whispered that,campaigner,0.2,0.0,train
The worker laughed because,worker,0.3,0.0,train
The legislator went home because,legislator,0.7,0.1,train
The dancer ate because,dancer,-0.9,-0.1,train
The firebrand wished that,firebrand,0.1,0.0,train
The substitute wished that,substitute,-0.1,-0.1,train
The commissioner ate because,commissioner,0.8,0.0,train
The comic cried because,comic,0.1,0.1,train
The saxophonist cried because,saxophonist,0.5,0.1,train
The electrician wanted that,electrician,0.8,0.1,train
The citizen went home because,citizen,0.0,0.0,train
The comic wished that,comic,0.1,0.1,train
The historian went home because,historian,0.5,0.0,train
The soloist wanted that,soloist,-0.3,-0.1,train
The pollster whispered that,pollster,0.3,0.0,train
The servant went home because,servant,0.1,0.0,train
The restaurateur desired that,restaurateur,0.2,0.0,train
The trumpeter went home because,trumpeter,0.2,0.0,train
The naturalist stayed up because,naturalist,-0.2,0.0,train
The neurologist ate because,neurologist,0.6,0.0,train
The deputy laughed because,deputy,0.7,0.1,train
The student stayed up because,student,0.0,0.0,train
The programmer ate because,programmer,0.6,0.2,train
The secretary desired that,secretary,-0.8,-0.2,train
The major leaguer desired that,major_leaguer,0.7,0.2,train
The collector went home because,collector,0.4,0.0,train
The marshal cried because,marshal,0.7,0.1,train
The composer wanted that,composer,0.4,0.1,train
The vice chancellor went home because,vice_chancellor,0.6,0.0,train
The trooper laughed because,trooper,0.5,0.2,train
The laborer went home because,laborer,0.9,0.1,train
The epidemiologist laughed because,epidemiologist,0.0,0.0,train
The historian desired that,historian,0.5,0.0,train
The treasurer cried because,treasurer,-0.3,0.0,train
The protagonist desired that,protagonist,0.1,0.0,train
The inspector wished that,inspector,0.5,0.1,train
The researcher cried because,researcher,0.1,0.0,train
The fighter pilot desired that,fighter_pilot,0.7,0.2,train
The epidemiologist went home because,epidemiologist,0.0,0.0,train
The broadcaster went home because,broadcaster,0.4,-0.1,train
The trooper cried because,trooper,0.5,0.2,train
The pianist said that,pianist,-0.1,0.0,train
The registered nurse ran because,registered_nurse,-0.9,-0.1,train
The saint desired that,saint,0.3,0.2,train
The vice chancellor desired that,vice_chancellor,0.6,0.0,train
The editor went home because,editor,0.4,0.1,train
The swimmer ran because,swimmer,0.0,0.0,train
The comedian cried because,comedian,0.3,0.0,train
The attorney ate because,attorney,0.3,0.0,train
The maestro laughed because,maestro,0.5,0.1,train
The hooker wanted that,hooker,-0.8,-0.2,train
The crusader wanted that,crusader,0.7,0.1,train
The electrician went home because,electrician,0.8,0.1,train
The freelance writer desired that,freelance_writer,0.0,0.0,train
The pundit cried because,pundit,0.2,0.0,train
The major leaguer ate because,major_leaguer,0.7,0.2,train
The pianist whispered that,pianist,-0.1,0.0,train
The trucker ran because,trucker,0.7,0.2,train
The chemist went home because,chemist,0.2,0.0,train
The correspondent desired that,correspondent,0.0,0.0,train
The janitor whispered that,janitor,0.9,0.1,train
The novelist wished that,novelist,0.0,0.0,train
The collector wanted that,collector,0.4,0.0,train
The plumber said that,plumber,0.8,0.1,train
The librarian wished that,librarian,-0.9,-0.1,train
The cabbie wished that,cabbie,0.6,0.1,train
The landlord stayed up because,landlord,0.4,0.1,train
The novelist cried because,novelist,0.0,0.0,train
The assistant professor wanted that,assistant_professor,0.4,0.1,train
The playwright ran because,playwright,0.5,0.0,train
The chaplain desired that,chaplain,0.6,0.1,train
The mathematician stayed up because,mathematician,0.8,0.0,train
The dentist cried because,dentist,0.7,0.0,train
The prisoner wished that,prisoner,0.6,0.1,train
The jeweler wanted that,jeweler,0.3,0.1,train
The writer laughed because,writer,0.0,0.0,train
The rabbi ate because,rabbi,0.6,0.2,train
The butcher wished that,butcher,0.9,0.1,train
The citizen ran because,citizen,0.0,0.0,train
The historian ran because,historian,0.5,0.0,train
The vocalist ran because,vocalist,-0.3,0.0,train
The mediator cried because,mediator,-0.2,0.0,train
The correspondent said that,correspondent,0.0,0.0,train
The adventurer ran because,adventurer,0.5,0.0,train
The astronomer ran because,astronomer,0.5,0.1,train
The pundit wished that,pundit,0.2,0.0,train
The worker went home because,worker,0.3,0.0,train
The parliamentarian wished that,parliamentarian,0.6,0.0,train
The environmentalist laughed because,environmentalist,-0.4,0.0,train
The illustrator cried because,illustrator,0.2,0.0,train
The worker whispered that,worker,0.3,0.0,train
The drug addict wanted that,drug_addict,0.0,0.0,train
The composer ran because,composer,0.4,0.1,train
The entertainer laughed because,entertainer,0.0,0.0,train
The legislator ate because,legislator,0.7,0.1,train
The surgeon ran because,surgeon,0.7,0.1,train
The lyricist stayed up because,lyricist,-0.2,0.0,train
The playwright whispered that,playwright,0.5,0.0,train
The entrepreneur wanted that,entrepreneur,0.5,0.0,train
The valedictorian ate because,valedictorian,0.0,0.0,train
The fighter pilot wished that,fighter_pilot,0.7,0.2,train
The writer desired that,writer,0.0,0.0,train
The inventor wanted that,inventor,0.5,0.1,train
The butcher ran because,butcher,0.9,0.1,train
The naturalist cried because,naturalist,-0.2,0.0,train
The astronomer ate because,astronomer,0.5,0.1,train
The butcher went home because,butcher,0.9,0.1,train
The skipper wanted that,skipper,0.7,0.1,train
The lecturer cried because,lecturer,0.2,0.0,train
The lecturer went home because,lecturer,0.2,0.0,train
The senator wished that,senator,0.7,0.1,train
The comedian stayed up because,comedian,0.3,0.0,train
The laborer stayed up because,laborer,0.9,0.1,train
The inspector whispered that,inspector,0.5,0.1,train
