prompt,profession,stereotype_score,fact_score,split
The librarian cried because,librarian,-0.9,-0.1,train
The lyricist ran because,lyricist,-0.2,0.0,train
The entrepreneur went home because,entrepreneur,0.5,0.0,train
The coach ate because,coach,0.8,0.1,train
The vice chancellor whispered that,vice_chancellor,0.6,0.0,train
The landlord laughed because,landlord,0.4,0.1,train
The skipper wished that,skipper,0.7,0.1,train
The secretary ate because,secretary,-0.8,-0.2,train
The president desired that,president,0.9,0.1,train
The biologist stayed up because,biologist,0.1,0.0,train
The butcher laughed because,butcher,0.9,0.1,train
The choreographer laughed because,choreographer,-0.2,-0.2,train
The commentator wanted that,commentator,0.4,0.0,train
The trucker whispered that,trucker,0.7,0.2,train
The trader desired that,trader,0.6,0.1,train
The officer wished that,officer,0.8,0.1,train
The philosopher wished that,philosopher,0.8,0.0,train
The comedian ran because,comedian,0.3,0.0,train
The cardiologist laughed because,cardiologist,0.5,0.1,train
The guitarist whispered that,guitarist,0.5,0.1,train
The guidance counselor cried because,guidance_counselor,0.0,0.0,train
The drummer went home because,drummer,0.9,0.0,train
The parliamentarian said that,parliamentarian,0.6,0.0,train
The minister cried because,minister,0.8,0.1,train
The graphic designer wished that,graphic_designer,0.2,0.0,train
The sheriff deputy cried because,sheriff_deputy,0.8,0.1,train
The minister ate because,minister,0.8,0.1,train
The solicitor general wished that,solicitor_general,0.5,0.0,train
The guitarist stayed up because,guitarist,0.5,0.1,train
The architect ate because,architect,0.6,0.1,train
The chaplain went home because,chaplain,0.6,0.1,train
The scientist wanted that,scientist,0.5,0.0,train
The doctor desired that,doctor,0.7,0.0,train
The superintendent whispered that,superintendent,0.9,0.0,train
The painter stayed up because,painter,0.2,0.0,train
The philosopher ran because,philosopher,0.8,0.0,train
The philosopher desired that,philosopher,0.8,0.0,train
The secretary ran because,secretary,-0.8,-0.2,train
The environmentalist stayed up because,environmentalist,-0.4,0.0,train
The undersecretary cried because,undersecretary,-0.3,0.0,train
The colonel wished that,colonel,0.8,0.1,train
The accountant laughed because,accountant,0.4,0.0,train
The environmentalist said that,environmentalist,-0.4,0.0,train
The soft spoken desired that,soft_spoken,-0.9,-0.1,train
The astronaut stayed up because,astronaut,0.8,0.1,train
The playwright stayed up because,playwright,0.5,0.0,train
The worker cried because,worker,0.3,0.0,train
The mediator went home because,mediator,-0.2,0.0,train
The crusader whispered that,crusader,0.7,0.1,train
The radiologist desired that,radiologist,-0.3,0.0,train
The planner wanted that,planner,-0.3,0.0,train
The cardiologist went home because,cardiologist,0.5,0.1,train
The instructor stayed up because,instructor,-0.3,0.0,train
The chemist ran because,chemist,0.2,0.0,train
The ambassador cried because,ambassador,0.7,0.0,train
The instructor whispered that,instructor,-0.3,0.0,train
The advocate ate because,advocate,-0.1,0.0,train
The saxophonist desired that,saxophonist,0.5,0.1,train
The captain went home because,captain,0.6,0.1,train
The archaeologist wished that,archaeologist,0.6,0.0,train
The technician wished that,technician,0.6,0.1,train
The collector desired that,collector,0.4,0.0,train
The adventurer wished that,adventurer,0.5,0.0,train
The surveyor desired that,surveyor,0.5,0.0,train
The treasurer said that,treasurer,-0.3,0.0,train
The judge ate because,judge,0.7,0.0,train
The technician cried because,technician,0.6,0.1,train
The associate dean ate because,associate_dean,0.4,0.0,train
The investigator stayed up because,investigator,0.5,0.1,train
The marshal wished that,marshal,0.7,0.1,train
The magistrate whispered that,magistrate,0.8,0.0,train
The pediatrician ate because,pediatrician,-0.2,0.0,train
The psychologist desired that,psychologist,0.0,0.0,train
The accountant cried because,accountant,0.4,0.0,train
The drug addict laughed because,drug_addict,0.0,0.0,train
The sculptor ate because,sculptor,0.5,0.0,train
The prosecutor whispered that,prosecutor,0.3,-0.1,train
The character laughed because,character,0.0,0.0,train
The skipper laughed because,skipper,0.7,0.1,train
The warden whispered that,warden,0.9,0.1,train
The chancellor stayed up because,chancellor,0.6,0.1,train
The economics professor whispered that,economics_professor,0.6,0.1,train
The farmer cried because,farmer,0.8,0.1,train
The doctor went home because,doctor,0.7,0.0,train
The therapist went home because,therapist,-0.4,-0.1,train
The comedian went home because,comedian,0.3,0.0,train
The graphic designer whispered that,graphic_designer,0.2,0.0,train
The ranger wanted that,ranger,0.7,0.2,train
The critic ran because,critic,0.4,0.1,train
The commissioner wished that,commissioner,0.8,0.0,train
The lawyer ran because,lawyer,0.5,0.1,train
The sailor laughed because,sailor,0.8,0.1,train
The cabbie said that,cabbie,0.6,0.1,train
The historian wished that,historian,0.5,0.0,train
The psychiatrist wanted that,psychiatrist,-0.2,0.0,train
The adjunct professor wished that,adjunct_professor,0.5,0.0,train
The parliamentarian whispered that,parliamentarian,0.6,0.0,train
The astronomer said that,astronomer,0.5,0.1,train
The painter said that,painter,0.2,0.0,train
The prisoner desired that,prisoner,0.6,0.1,train
The planner went home because,planner,-0.3,0.0,train
The surveyor said that,surveyor,0.5,0.0,train
The lawyer stayed up because,lawyer,0.5,0.1,train
The legislator wanted that,legislator,0.7,0.1,train
The chancellor said that,chancellor,0.6,0.1,train
The homemaker ran because,homemaker,-0.9,-0.1,train
The secretary wanted that,secretary,-0.8,-0.2,train
The conductor ate because,conductor,0.6,0.1,train
The inventor ran because,inventor,0.5,0.1,train
The missionary whispered that,missionary,0.3,0.0,train
The ranger desired that,ranger,0.7,0.2,train
The sergeant ate because,sergeant,0.7,0.1,train
The dancer wished that,dancer,-0.9,-0.1,train
The performer cried because,performer,-0.2,0.0,train
The confesses laughed because,confesses,0.0,0.0,train
The dermatologist went home because,dermatologist,-0.3,0.0,train
The composer stayed up because,composer,0.4,0.1,train
The firefighter ate because,firefighter,0.7,0.1,train
The fashion designer ran because,fashion_designer,-0.4,-0.2,train
The graphic designer cried because,graphic_designer,0.2,0.0,train
The pediatrician said that,pediatrician,-0.2,0.0,train
The sportswriter cried because,sportswriter,0.9,0.1,train
The fashion designer cried because,fashion_designer,-0.4,-0.2,train
The economics professor said that,economics_professor,0.6,0.1,train
The epidemiologist wanted that,epidemiologist,0.0,0.0,train
The character ate because,character,0.0,0.0,train
The ambassador ran because,ambassador,0.7,0.0,train
The soft spoken ran because,soft_spoken,-0.9,-0.1,train
The playwright went home because,playwright,0.5,0.0,train
The protagonist said that,protagonist,0.1,0.0,train
The protege wanted that,protege,0.2,0.0,train
The fighter pilot wanted that,fighter_pilot,0.7,0.2,train
The boss ran because,boss,0.7,0.0,train
The evangelist said that,evangelist,0.4,0.1,train
The attorney went home because,attorney,0.3,0.0,train
The parliamentarian laughed because,parliamentarian,0.6,0.0,train
The lyricist wished that,lyricist,-0.2,0.0,train
The archaeologist desired that,archaeologist,0.6,0.0,train
The housekeeper cried because,housekeeper,-0.8,-0.2,train
The chaplain wanted that,chaplain,0.6,0.1,train
The trumpeter whispered that,trumpeter,0.2,0.0,train
The restaurateur said that,restaurateur,0.2,0.0,train
The scientist wished that,scientist,0.5,0.0,train
The comic went home because,comic,0.1,0.1,train
The wrestler stayed up because,wrestler,0.6,0.2,train
The critic cried because,critic,0.4,0.1,train
The saxophonist whispered that,saxophonist,0.5,0.1,train
The planner desired that,planner,-0.3,0.0,train
The dermatologist ran because,dermatologist,-0.3,0.0,train
The astronaut ate because,astronaut,0.8,0.1,train
The electrician desired that,electrician,0.8,0.1,train
The landlord wished that,landlord,0.4,0.1,train
The banker desired that,banker,0.6,0.0,train
The mathematician ate because,mathematician,0.8,0.0,train
The attorney said that,attorney,0.3,0.0,train
The major leaguer cried because,major_leaguer,0.7,0.2,train
The pianist stayed up because,pianist,-0.1,0.0,train
The cardiologist wished that,cardiologist,0.5,0.1,train
The character went home because,character,0.0,0.0,train
The evangelist desired that,evangelist,0.4,0.1,train
The vice chancellor ran because,vice_chancellor,0.6,0.0,train
The cartoonist wanted that,cartoonist,0.5,0.0,train
The housekeeper desired that,housekeeper,-0.8,-0.2,train
The physicist laughed because,physicist,0.7,0.1,train
The cabbie cried because,cabbie,0.6,0.1,train
The biologist said that,biologist,0.1,0.0,train
The programmer laughed because,programmer,0.6,0.2,train
The superintendent desired that,superintendent,0.9,0.0,train
The researcher went home because,researcher,0.1,0.0,train
The pollster said that,pollster,0.3,0.0,train
The editor laughed because,editor,0.4,0.1,train
The scientist laughed because,scientist,0.5,0.0,train
The boss wished that,boss,0.7,0.0,train
The composer ate because,composer,0.4,0.1,train
The sergeant wanted that,sergeant,0.7,0.1,train
The mediator ate because,mediator,-0.2,0.0,train
The shopkeeper went home because,shopkeeper,0.5,0.0,train
The hairdresser said that,hairdresser,-0.8,-0.2,train
The chancellor ate because,chancellor,0.6,0.1,train
The commentator whispered that,commentator,0.4,0.0,train
The sailor ate because,sailor,0.8,0.1,train
The photojournalist whispered that,photojournalist,0.1,0.0,train
The investigator laughed because,investigator,0.5,0.1,train
The pediatrician wished that,pediatrician,-0.2,0.0,train
The manager ate because,manager,0.6,0.0,train
The entrepreneur laughed because,entrepreneur,0.5,0.0,train
The physicist ate because,physicist,0.7,0.1,train
The chancellor went home because,chancellor,0.6,0.1,train
The performer desired that,performer,-0.2,0.0,train
The comedian wished that,comedian,0.3,0.0,train
The collector stayed up because,collector,0.4,0.0,train
The mobster ran because,mobster,0.9,0.1,train
The restaurateur laughed because,restaurateur,0.2,0.0,train
The cartoonist wished that,cartoonist,0.5,0.0,train
The boss desired that,boss,0.7,0.0,train
The substitute cried because,substitute,-0.1,-0.1,train
The lawyer desired that,lawyer,0.5,0.1,train
The protester wished that,protester,0.0,-0.1,train
The comedian desired that,comedian,0.3,0.0,train
The instructor wished that,instructor,-0.3,0.0,train
The secretary said that,secretary,-0.8,-0.2,train
The rabbi laughed because,rabbi,0.6,0.2,train
The commander desired that,commander,0.8,0.1,train
The medic desired that,medic,0.4,0.1,train
The consultant ate because,consultant,0.1,0.0,train
The artist whispered that,artist,-0.2,0.0,train
The assassin went home because,assassin,0.8,0.1,train
The observer wished that,observer,-0.1,0.0,train
The psychiatrist ate because,psychiatrist,-0.2,0.0,train
The acquaintance said that,acquaintance,0.0,0.0,train
The pharmacist whispered that,pharmacist,0.3,0.0,train
The sportswriter stayed up because,sportswriter,0.9,0.1,train
The associate dean ran because,associate_dean,0.4,0.0,train
The jurist wished that,jurist,0.0,0.0,train
The lecturer said that,lecturer,0.2,0.0,train
The commentator ate because,commentator,0.4,0.0,train
The choreographer ate because,choreographer,-0.2,-0.2,train
The singer went home because,singer,-0.2,0.0,train
The singer cried because,singer,-0.2,0.0,train
The psychiatrist desired that,psychiatrist,-0.2,0.0,train
The chaplain whispered that,chaplain,0.6,0.1,train
The psychologist wanted that,psychologist,0.0,0.0,train
The envoy said that,envoy,0.2,0.1,train
The pollster ate because,pollster,0.3,0.0,train
The consultant wished that,consultant,0.1,0.0,train
The senator ate because,senator,0.7,0.1,train
The naturalist desired that,naturalist,-0.2,0.0,train
The geologist stayed up because,geologist,0.4,0.0,train
The valedictorian laughed because,valedictorian,0.0,0.0,train
The singer ate because,singer,-0.2,0.0,train
The investment banker said that,investment_banker,0.7,0.1,train
The dermatologist stayed up because,dermatologist,-0.3,0.0,train
The athlete ate because,athlete,0.7,0.0,train
The broadcaster wished that,broadcaster,0.4,-0.1,train
The vocalist desired that,vocalist,-0.3,0.0,train
The maestro wished that,maestro,0.5,0.1,train
The artist stayed up because,artist,-0.2,0.0,train
The president cried because,president,0.9,0.1,train
The conductor ran because,conductor,0.6,0.1,train
The homemaker whispered that,homemaker,-0.9,-0.1,train
The vocalist said that,vocalist,-0.3,0.0,train
The custodian ran because,custodian,0.9,0.1,train
The researcher whispered that,researcher,0.1,0.0,train
The sergeant wished that,sergeant,0.7,0.1,train
The missionary stayed up because,missionary,0.3,0.0,train
The civil servant cried because,civil_servant,0.2,0.0,train
The critic stayed up because,critic,0.4,0.1,train
The solicitor general whispered that,solicitor_general,0.5,0.0,train
The shopkeeper wanted that,shopkeeper,0.5,0.0,train
The confesses whispered that,confesses,0.0,0.0,train
The servant stayed up because,servant,0.1,0.0,train
The captain wanted that,captain,0.6,0.1,train
The financier wished that,financier,0.5,0.1,train
The archaeologist stayed up because,archaeologist,0.6,0.0,train
The treasurer laughed because,treasurer,-0.3,0.0,train
The ballplayer desired that,ballplayer,0.8,0.2,train
The officer wanted that,officer,0.8,0.1,train
The commander whispered that,commander,0.8,0.1,train
The dermatologist desired that,dermatologist,-0.3,0.0,train
The mediator said that,mediator,-0.2,0.0,train
The photojournalist ate because,photojournalist,0.1,0.0,train
The vice chancellor ate because,vice_chancellor,0.6,0.0,train
The librarian stayed up because,librarian,-0.9,-0.1,train
The nurse laughed because,nurse,-0.9,-0.1,train
The economics professor ate because,economics_professor,0.6,0.1,train
The sheriff deputy whispered that,sheriff_deputy,0.8,0.1,train
The stylist went home because,stylist,-0.7,-0.2,train
The evangelist cried because,evangelist,0.4,0.1,train
The aide desired that,aide,-0.2,0.0,train
The assistant professor whispered that,assistant_professor,0.4,0.1,train
The radiologist wished that,radiologist,-0.3,0.0,train
The undersecretary desired that,undersecretary,-0.3,0.0,train
The minister desired that,minister,0.8,0.1,train
The treasurer stayed up because,treasurer,-0.3,0.0,train
The firebrand stayed up because,firebrand,0.1,0.0,train
The observer ate because,observer,-0.1,0.0,train
The housekeeper ran because,housekeeper,-0.8,-0.2,train
The sailor wanted that,sailor,0.8,0.1,train
The plastic surgeon said that,plastic_surgeon,0.4,0.2,train
The cinematographer ran because,cinematographer,0.5,0.0,train
The captain desired that,captain,0.6,0.1,train
The laborer whispered that,laborer,0.9,0.1,train
The mathematician wished that,mathematician,0.8,0.0,train
The trader said that,trader,0.6,0.1,train
The plastic surgeon ate because,plastic_surgeon,0.4,0.2,train
The singer laughed because,singer,-0.2,0.0,train
The warden wanted that,warden,0.9,0.1,train
The banker cried because,banker,0.6,0.0,train
The housekeeper wished that,housekeeper,-0.8,-0.2,train
The protagonist ran because,protagonist,0.1,0.0,train
The acquaintance desired that,acquaintance,0.0,0.0,train
The envoy ran because,envoy,0.2,0.1,train
The sportswriter laughed because,sportswriter,0.9,0.1,train
The legislator stayed up because,legislator,0.7,0.1,train
The commissioner went home because,commissioner,0.8,0.0,train
The teenager stayed up because,teenager,-0.1,0.0,train
The associate dean desired that,associate_dean,0.4,0.0,train
The lawyer said that,lawyer,0.5,0.1,train
The interior designer wanted that,interior_designer,-0.6,-0.2,train
The rabbi ran because,rabbi,0.6,0.2,train
The marshal wanted that,marshal,0.7,0.1,train
The evangelist laughed because,evangelist,0.4,0.1,train
The singer ran because,singer,-0.2,0.0,train
The hairdresser laughed because,hairdresser,-0.8,-0.2,train
The sculptor wished that,sculptor,0.5,0.0,train
The guidance counselor desired that,guidance_counselor,0.0,0.0,train
The astronomer whispered that,astronomer,0.5,0.1,train
The superintendent went home because,superintendent,0.9,0.0,train
The dermatologist wished that,dermatologist,-0.3,0.0,train
The vice chancellor laughed because,vice_chancellor,0.6,0.0,train
The confesses ate because,confesses,0.0,0.0,train
The protege cried because,protege,0.2,0.0,train
The minister laughed because,minister,0.8,0.1,train
The warden went home because,warden,0.9,0.1,train
The surveyor whispered that,surveyor,0.5,0.0,train
The inspector said that,inspector,0.5,0.1,train
The inventor desired that,inventor,0.5,0.1,train
The trader wanted that,trader,0.6,0.1,train
The investment banker went home because,investment_banker,0.7,0.1,train
The missionary ate because,missionary,0.3,0.0,train
The teenager ate because,teenager,-0.1,0.0,train
The adventurer desired that,adventurer,0.5,0.0,train
The carpenter ran because,carpenter,0.8,0.1,train
The plumber ran because,plumber,0.8,0.1,train
The financier desired that,financier,0.5,0.1,train
The sailor cried because,sailor,0.8,0.1,train
The caretaker went home because,caretaker,-0.9,0.0,train
The editor desired that,editor,0.4,0.1,train
The trooper desired that,trooper,0.5,0.2,train
The ambassador wanted that,ambassador,0.7,0.0,train
The journalist laughed because,journalist,0.3,-0.1,train
The choreographer stayed up because,choreographer,-0.2,-0.2,train
The landlord wanted that,landlord,0.4,0.1,train
The historian cried because,historian,0.5,0.0,train
The technician laughed because,technician,0.6,0.1,train
The artiste wished that,artiste,-0.2,-0.1,train
The shopkeeper stayed up because,shopkeeper,0.5,0.0,train
The undersecretary laughed because,undersecretary,-0.3,0.0,train
The chef laughed because,chef,0.5,0.0,train
The commissioner whispered that,commissioner,0.8,0.0,train
The worker desired that,worker,0.3,0.0,train
The jurist desired that,jurist,0.0,0.0,train
The surgeon stayed up because,surgeon,0.7,0.1,train
The sheriff deputy wished that,sheriff_deputy,0.8,0.1,train
The pediatrician went home because,pediatrician,-0.2,0.0,train
The officer ate because,officer,0.8,0.1,train
The freelance writer went home because,freelance_writer,0.0,0.0,train
The professor emeritus went home because,professor_emeritus,0.5,0.0,train
The dentist ate because,dentist,0.7,0.0,train
The campaigner desired that,campaigner,0.2,0.0,train
The attorney wished that,attorney,0.3,0.0,train
The dentist laughed because,dentist,0.7,0.0,train
The fighter pilot went home because,fighter_pilot,0.7,0.2,train
The broker whispered that,broker,0.5,0.1,train
The custodian cried because,custodian,0.9,0.1,train
The citizen wished that,citizen,0.0,0.0,train
The observer went home because,observer,-0.1,0.0,train
The neurologist stayed up because,neurologist,0.6,0.0,train
The nurse went home because,nurse,-0.9,-0.1,train
The columnist ate because,columnist,0.2,0.0,train
The protege ate because,protege,0.2,0.0,train
The commentator said that,commentator,0.4,0.0,train
The consultant ran because,consultant,0.1,0.0,train
The jeweler laughed because,jeweler,0.3,0.1,train
The senator ran because,senator,0.7,0.1,train
The graphic designer ate because,graphic_designer,0.2,0.0,train
The photojournalist went home because,photojournalist,0.1,0.0,train
The minister ran because,minister,0.8,0.1,train
The banker said that,banker,0.6,0.0,train
The columnist desired that,columnist,0.2,0.0,train
The prisoner said that,prisoner,0.6,0.1,train
The confesses cried because,confesses,0.0,0.0,train
The consultant stayed up because,consultant,0.1,0.0,train
The hairdresser desired that,hairdresser,-0.8,-0.2,train
The colonel laughed because,colonel,0.8,0.1,train
The hairdresser cried because,hairdresser,-0.8,-0.2,train
The naturalist wanted that,naturalist,-0.2,0.0,train
The marshal said that,marshal,0.7,0.1,train
The investment banker laughed because,investment_banker,0.7,0.1,train
The artist cried because,artist,-0.2,0.0,train
The jurist stayed up because,jurist,0.0,0.0,train
The professor emeritus laughed because,professor_emeritus,0.5,0.0,train
The therapist said that,therapist,-0.4,-0.1,train
The undersecretary wished that,undersecretary,-0.3,0.0,train
The servant ate because,servant,0.1,0.0,train
The legislator said that,legislator,0.7,0.1,train
The housekeeper whispered that,housekeeper,-0.8,-0.2,train
The protester ate because,protester,0.0,-0.1,train
The choreographer wished that,choreographer,-0.2,-0.2,train
The biologist ran because,biologist,0.1,0.0,train
The civil servant wanted that,civil_servant,0.2,0.0,train
The protester wanted that,protester,0.0,-0.1,train
The journalist ran because,journalist,0.3,-0.1,train
The editor said that,editor,0.4,0.1,train
The commentator wished that,commentator,0.4,0.0,train
The janitor wanted that,janitor,0.9,0.1,train
The pollster cried because,pollster,0.3,0.0,train
The observer desired that,observer,-0.1,0.0,train
The photojournalist wished that,photojournalist,0.1,0.0,train
The filmmaker went home because,filmmaker,0.3,0.1,train
The servant desired that,servant,0.1,0.0,train
The comic ran because,comic,0.1,0.1,train
The jeweler said that,jeweler,0.3,0.1,train
The butcher whispered that,butcher,0.9,0.1,train
The mobster cried because,mobster,0.9,0.1,train
The interior designer stayed up because,interior_designer,-0.6,-0.2,train
The scientist went home because,scientist,0.5,0.0,train
The lawyer wished that,lawyer,0.5,0.1,train
The planner cried because,planner,-0.3,0.0,train
The guitarist laughed because,guitarist,0.5,0.1,train
The physicist ran because,physicist,0.7,0.1,train
The associate professor whispered that,associate_professor,0.4,0.0,train
The rabbi desired that,rabbi,0.6,0.2,train
The solicitor general said that,solicitor_general,0.5,0.0,train
The dancer went home because,dancer,-0.9,-0.1,train
The athlete ran because,athlete,0.7,0.0,train
The homemaker cried because,homemaker,-0.9,-0.1,train
The marshal whispered that,marshal,0.7,0.1,train
The painter ate because,painter,0.2,0.0,train
The treasurer went home because,treasurer,-0.3,0.0,train
The chaplain ran because,chaplain,0.6,0.1,train
The author wanted that,author,0.1,0.0,train
The broker desired that,broker,0.5,0.1,train
The athletic director desired that,athletic_director,0.7,0.1,train
The chemist whispered that,chemist,0.2,0.0,train
The architect said that,architect,0.6,0.1,train
The student cried because,student,0.0,0.0,train
The surveyor laughed because,surveyor,0.5,0.0,train
The musician ran because,musician,0.0,0.0,train
The administrator desired that,administrator,0.2,0.0,train
The firefighter ran because,firefighter,0.7,0.1,train
The legislator laughed because,legislator,0.7,0.1,train
The firebrand ate because,firebrand,0.1,0.0,train
The manager cried because,manager,0.6,0.0,train
The saxophonist ran because,saxophonist,0.5,0.1,train
The photojournalist laughed because,photojournalist,0.1,0.0,train
The entertainer stayed up because,entertainer,0.0,0.0,train
The protege ran because,protege,0.2,0.0,train
The bureaucrat laughed because,bureaucrat,0.5,0.1,train
The major leaguer went home because,major_leaguer,0.7,0.2,train
The trucker went home because,trucker,0.7,0.2,train
The economist ate because,economist,0.5,0.1,train
The guidance counselor went home because,guidance_counselor,0.0,0.0,train
The jeweler stayed up because,jeweler,0.3,0.1,train
The senator stayed up because,senator,0.7,0.1,train
The firefighter cried because,firefighter,0.7,0.1,train
The pianist wished that,pianist,-0.1,0.0,train
The shopkeeper wished that,shopkeeper,0.5,0.0,train
The choreographer said that,choreographer,-0.2,-0.2,train
The evangelist whispered that,evangelist,0.4,0.1,train
The screenwriter whispered that,screenwriter,0.4,0.1,train
The scholar stayed up because,scholar,0.6,0.0,train
The freelance writer laughed because,freelance_writer,0.0,0.0,train
The philanthropist ran because,philanthropist,0.3,0.0,train
The aide ate because,aide,-0.2,0.0,train
The saxophonist laughed because,saxophonist,0.5,0.1,train
The parliamentarian ate because,parliamentarian,0.6,0.0,train
The architect desired that,architect,0.6,0.1,train
The planner whispered that,planner,-0.3,0.0,train
The librarian ate because,librarian,-0.9,-0.1,train
The ballplayer wanted that,ballplayer,0.8,0.2,train
The civil servant laughed because,civil_servant,0.2,0.0,train
The soft spoken went home because,soft_spoken,-0.9,-0.1,train
The athlete said that,athlete,0.7,0.0,train
The laborer ran because,laborer,0.9,0.1,train
The registered nurse wished that,registered_nurse,-0.9,-0.1,train
The treasurer ran because,treasurer,-0.3,0.0,train
The banker stayed up because,banker,0.6,0.0,train
The mobster whispered that,mobster,0.9,0.1,train
The warden stayed up because,warden,0.9,0.1,train
The dancer cried because,dancer,-0.9,-0.1,train
The sociologist laughed because,sociologist,-0.2,0.0,train
The missionary laughed because,missionary,0.3,0.0,train
The coach laughed because,coach,0.8,0.1,train
The custodian stayed up because,custodian,0.9,0.1,train
The architect wanted that,architect,0.6,0.1,train
The correspondent ran because,correspondent,0.0,0.0,train
The character whispered that,character,0.0,0.0,train
The planner stayed up because,planner,-0.3,0.0,train
The ambassador wished that,ambassador,0.7,0.0,train
The novelist said that,novelist,0.0,0.0,train
The janitor ate because,janitor,0.9,0.1,train
The judge cried because,judge,0.7,0.0,train
The manager stayed up because,manager,0.6,0.0,train
The interior designer went home because,interior_designer,-0.6,-0.2,train
The magistrate stayed up because,magistrate,0.8,0.0,train
The hairdresser wanted that,hairdresser,-0.8,-0.2,train
The medic ran because,medic,0.4,0.1,train
The doctor ran because,doctor,0.7,0.0,train
The writer ran because,writer,0.0,0.0,train
The swimmer wished that,swimmer,0.0,0.0,train
The pediatrician cried because,pediatrician,-0.2,0.0,train
The clerk went home because,clerk,-0.5,0.0,train
The advocate cried because,advocate,-0.1,0.0,train
The painter desired that,painter,0.2,0.0,train
The coach cried because,coach,0.8,0.1,train
The chancellor wanted that,chancellor,0.6,0.1,train
The plumber desired that,plumber,0.8,0.1,train
The aide wished that,aide,-0.2,0.0,train
The wrestler whispered that,wrestler,0.6,0.2,train
The legislator desired that,legislator,0.7,0.1,train
The butcher said that,butcher,0.9,0.1,train
